rewards,ma_rewards
-1032.3411546992395,-1032.3411546992395
-1581.257406603305,-1087.232779889646
-1361.95323340449,-1114.7048252411305
-1021.797641779321,-1105.4141068949496
-931.1256219462965,-1087.9852584000844
-1055.0296260673204,-1084.689695166808
-896.4808213755996,-1065.868807787687
-936.0096811276245,-1052.8828951216808
-1162.465435281237,-1063.8411491376364
-654.0762062048684,-1022.8646548443596
-626.1019767036297,-983.1883870302867
-389.0219817117803,-923.7717464984361
-628.2279825497493,-894.2173701035674
-344.6819313661763,-839.2638262298283
-386.04894864132086,-793.9423384709776
-253.37403723583182,-739.885508347463
-476.4802940285997,-713.5449869155766
-509.8710777558925,-693.1775959996082
-485.2253735594142,-672.3823737555888
-499.1410846897567,-655.0582448490056
-610.5008062530179,-650.6025009894068
-256.6910296782947,-611.2113538582956
-624.5980604488332,-612.5500245173494
-262.06121597221255,-577.5011436628357
-512.28852416011,-570.9798817125632
-247.81159679915245,-538.6630532212222
-501.31844378558066,-534.928592277658
-246.75118546654582,-506.1108515965468
-600.4208414206722,-515.5418505789594
-494.2485852550713,-513.4125240465705
-480.5011734550346,-510.12138898741694
-584.2340142599716,-517.5326515146724
-374.95701469535044,-503.27508783274016
-624.4252982960804,-515.3901088790742
-718.515725493947,-535.7026705405615
-622.5064020880877,-544.3830436953141
-750.032497889848,-564.9479891147674
-628.8032832176035,-571.3335185250511
-622.2496592841757,-576.4251326009635
-232.80748678594028,-542.0633680194612
-124.88384288077638,-500.34541550559277
-494.0405999610323,-499.71493395113674
-360.51249444795525,-485.7946900008186
-248.90758942566472,-462.1059799433032
-376.05204998221575,-453.50058694719445
-502.0836570984752,-458.35889396232255
-375.7281394189135,-450.0958185079817
-406.55580177144196,-445.7418168343277
-490.51742261608604,-450.2193774125036
-386.50659131604084,-443.84809880285735
-249.26409477826314,-424.38969840039795
-494.71294630230176,-431.42202319058833
-246.2208847974493,-412.90190935127447
-129.98538968397526,-384.6102573845445
-609.8904566943157,-407.13827731552163
-367.28271482698403,-403.1527210666679
-247.85314128223982,-387.6227630882251
-254.00844731007592,-374.2613315104102
-374.2056729988953,-374.25576565925866
-768.13803860848,-413.6439929541808
-379.7338627984283,-410.25297993860556
-499.4262528088096,-419.170307225626
-383.79334018881315,-415.63261052194474
-355.00319805295686,-409.56966927504595
-499.2937736604,-418.54207971358136
-122.03781084880309,-388.89165282710354
-532.2003640612115,-403.22252395051436
-244.117902172933,-387.31206177275624
-253.58991435753373,-373.93984703123397
-380.273358765652,-374.57319820467575
-487.85247026628537,-385.90112541083676
-564.3369381590195,-403.74470668565505
-254.146827776374,-388.78491879472693
-121.91470771105521,-362.0978976863598
-131.13362727045237,-339.00147064476903
-602.4757286279228,-365.3488964430844
-252.78145428547754,-354.09215222732377
-493.6550753193068,-368.0484445365221
-243.462103130835,-355.58981039595335
-613.3536681996334,-381.36619617632135
-255.74086362562434,-368.80366292125166
-252.24877267192196,-357.1481738963187
-130.26571263399794,-334.4599277700866
-501.7735080438359,-351.19128579746155
-247.36245567067417,-340.80840278478286
-491.98884401814837,-355.92644690811943
-641.6076413625053,-384.494566353558
-141.72349409787842,-360.2174591279901
-604.9646785528824,-384.6921810704793
-602.2136485916342,-406.4443278225948
-363.69463830374673,-402.16935887071
-373.4222591581398,-399.294648899453
-728.8553822721086,-432.2507222367186
-462.31682100644736,-435.25733211369146
-365.07980099599575,-428.2395790019219
-491.4210159370917,-434.55772269543894
-253.0902569771581,-416.41097612361085
-350.871155880539,-409.8569940993037
-498.9069033604602,-418.76198502541934
-590.0687700402035,-435.89266352689776
-380.5486223301734,-430.3582594072253
-118.34375440386418,-399.1568089068892
-369.81728383170366,-396.22285639937064
-127.01902335188112,-369.3024730946217
-375.15987683307264,-369.8882134684668
-497.69275024783315,-382.66866714640344
-255.52641762898503,-369.9544421946616
-252.64683687654758,-358.22368166285025
-605.8453588608353,-382.9858493826488
-378.72687917198755,-382.55995236158265
-620.0079403947017,-406.3047511648946
-365.72400106798824,-402.246676155204
-618.1634113026498,-423.83834966994857
-598.9642896258601,-441.3509436655397
-478.6641526172543,-445.08226456071117
-505.3439886839113,-451.1084369730312
-248.67090912737086,-430.86468418846516
-734.0969166484941,-461.1879074344681
-367.45000261557857,-451.8141169525791
-543.6306196829165,-460.9957672256129
-484.67721608650965,-463.3639121117026
-616.196909154274,-478.64721181595974
-248.0557439391476,-455.58806502827855
-590.2515995793209,-469.0544184833828
-245.8635065809194,-446.73532729313644
